Jahr,Stadtbezirk,Anzahl Einwohner_innen,Anzahl Einwohner_innen inkl. Nebenwohnsitzen,Anzahl Personen mit persönlichem Migrationshintergrund,Anzahl Personen mit familiärem Migrationshintergrund,Anzahl Personen mit persönlichem Migrationshintergrund - ausländisch,Anzahl Personen mit persönlichem Migrationshintergrund - Einbürgerung,Anzahl Personen mit persönlichem Migrationshintergrund - (Spät)Aussiedler,Anzahl Personen mit familiärem Migrationshintergrund - ausländisch,Anzahl Personen mit familiärem Migrationshintergrund - Einbürgerung,Anzahl Personen mit familiärem Migrationshintergrund - (Spät)Aussiedler,Anzahl Alleinerziehende Haushalte - deutsch,Anzahl Alleinerziehende Haushalte - nicht-deutsch,Anzahl Alleinerziehende Haushalte - kein Migrationshintergrund,Anzahl Alleinerziehende Haushalte - mit Migrationshintergrund
2006,Altstadt-Mitte,3737,4150,934,979,548,240,146,548,283,148,37,4,28,13
2007,Altstadt-Mitte,3662,4081,949,993,580,234,135,580,275,138,40,6,32,14
2008,Altstadt-Mitte,3625,4027,925,961,555,235,135,555,267,139,38,8,31,15
2010,Altstadt-Mitte,3740,4065,1021,1067,606,273,142,606,313,148,43,13,32,24
2011,Altstadt-Mitte,3833,3963,1059,1105,632,287,140,632,328,145,47,14,35,26
2012,Altstadt-Mitte,3864,3957,1096,1139,659,293,144,659,329,151,50,11,39,22
2015,Altstadt-Mitte,4016,4104,1250,1290,918,227,105,918,259,113,36,51,26,61
2017,Altstadt-Mitte,3897,3992,1126,1182,744,274,108,744,319,119,41,15,37,19
2019,Altstadt-Mitte,3861,3938,1105,1150,715,297,93,715,336,99,47,16,41,22
2021,Altstadt-Mitte,3819,3907,1151,1184,722,339,90,722,366,96,44,12,35,21
2009,Altstadt-Ring,3376,3641,849,877,519,233,97,519,254,104,67,7,61,13
2013,Altstadt-Ring,3650,3710,922,962,613,225,84,613,260,89,47,10,44,13
2016,Altstadt-Ring,3671,3721,1022,1072,676,261,85,676,307,89,48,16,45,19
2017,Altstadt-Ring,3650,3712,1009,1063,672,267,70,672,314,77,46,22,41,27
2018,Altstadt-Ring,3673,3727,1018,1080,703,254,61,703,309,68,45,22,40,27
2020,Altstadt-Ring,3683,3738,1071,1119,705,301,65,705,345,69,41,18,38,21
2021,Altstadt-Ring,3680,3733,1055,1102,700,292,63,700,335,67,36,16,34,18
2009,Neuburg,4467,4705,1148,1207,591,345,212,591,391,225,71,14,63,22
2013,Neuburg,4651,4717,1140,1213,643,317,180,643,380,190,58,15,49,24
2016,Neuburg,4698,4774,1274,1362,765,323,186,765,400,197,48,17,41,24
2017,Neuburg,4713,4791,1227,1336,745,312,170,745,410,181,49,15,42,22
2018,Neuburg,4869,4943,1267,1390,764,332,171,764,444,182,60,12,54,18
2020,Neuburg,5090,5174,1396,1506,865,377,154,865,475,166,51,16,46,21
2021,Neuburg,5230,5312,1463,1567,895,404,164,895,496,176,53,12,44,21
2006,Herdern-Süd,5339,5753,1010,1134,479,356,175,479,462,193,118,9,101,26
2008,Herdern-Süd,5351,5717,991,1131,445,377,169,445,493,193,128,8,115,21
2009,Herdern-Süd,5422,5750,987,1123,445,370,172,445,484,194,132,11,113,30
2010,Herdern-Süd,5481,5774,1032,1171,470,395,167,470,511,190,125,14,109,30
2012,Herdern-Süd,5570,5675,1139,1285,517,438,184,517,560,208,162,21,143,40
2016,Herdern-Süd,6008,6125,1226,1395,683,398,145,683,553,159,121,30,102,49
2017,Herdern-Süd,6057,6170,1237,1432,707,385,145,707,564,161,119,34,100,53
2009,Altstadt-Mitte,3660,4020,999,1045,586,270,143,586,313,146,37,9,26,20
2013,Altstadt-Mitte,3834,3931,1031,1066,666,247,118,666,277,123,35,14,28,21
2014,Altstadt-Mitte,3783,3870,1018,1059,672,237,109,672,270,117,38,13,30,21
2016,Altstadt-Mitte,3873,3963,1101,1139,741,245,115,741,275,123,35,15,29,21
2018,Altstadt-Mitte,3867,3949,1103,1156,727,279,97,727,323,106,43,15,39,19
2020,Altstadt-Mitte,3888,3960,1144,1185,731,319,94,731,350,104,45,13,37,21
2006,Altstadt-Ring,3282,3601,767,802,432,227,108,432,250,120,90,5,77,18
2007,Altstadt-Ring,3231,3531,754,797,420,230,104,420,265,112,79,6,69,16
2008,Altstadt-Ring,3270,3550,790,819,455,236,99,455,257,107,71,6,62,15
2010,Altstadt-Ring,3423,3659,899,930,538,256,105,538,279,113,63,6,56,13
2011,Altstadt-Ring,3554,3637,931,962,555,260,116,555,282,125,61,9,55,15
2012,Altstadt-Ring,3685,3739,1002,1050,608,287,107,608,328,114,64,12,56,20
2014,Altstadt-Ring,3701,3753,980,1024,655,248,77,655,288,81,44,15,39,20
2015,Altstadt-Ring,3664,3720,977,1022,637,265,75,637,305,80,45,12,39,18
2019,Altstadt-Ring,3709,3768,1058,1121,718,275,65,718,331,72,39,12,37,14
2006,Neuburg,4112,4433,972,1031,447,319,206,447,368,216,74,12,66,20
2007,Neuburg,4188,4490,1013,1081,483,326,204,483,383,215,69,10,60,19
2008,Neuburg,4447,4722,1137,1186,586,333,218,586,370,230,77,13,66,24
2010,Neuburg,4464,4690,1163,1226,582,364,217,582,414,230,70,13,61,22
2011,Neuburg,4554,4648,1162,1239,587,358,217,587,421,231,61,15,51,25
2012,Neuburg,4582,4645,1205,1286,612,369,224,612,436,238,74,18,62,30
2014,Neuburg,4672,4749,1197,1287,722,303,172,722,380,185,60,13,52,21
2015,Neuburg,4583,4657,1164,1247,685,304,175,685,374,188,46,13,39,20
2019,Neuburg,4900,4980,1305,1432,796,344,165,796,460,176,57,12,54,15
2007,Herdern-Süd,5370,5756,1027,1178,488,361,178,488,490,200,114,11,101,24
2011,Herdern-Süd,5585,5716,1099,1241,494,422,183,494,537,210,124,13,104,33
2013,Herdern-Süd,5744,5846,1059,1193,557,364,138,557,487,149,120,15,112,23
2014,Herdern-Süd,5881,5987,1158,1296,635,376,147,635,504,157,119,23,106,36
2015,Herdern-Süd,5934,6046,1147,1296,622,386,139,622,527,147,126,29,112,43
2019,Herdern-Süd,6205,6315,1291,1505,713,440,138,713,636,156,120,26,101,45
2006,Herdern-Nord,5531,6002,1236,1350,695,331,210,695,429,226,112,17,99,30
2008,Herdern-Nord,5364,5758,1139,1261,614,333,192,614,438,209,117,19,97,39
2010,Herdern-Nord,5410,5749,1190,1319,634,365,191,634,473,212,102,11,78,35
2011,Herdern-Nord,5505,5647,1230,1375,665,380,185,665,505,205,85,13,63,35
2012,Herdern-Nord,5622,5736,1277,1419,693,385,199,693,503,223,113,15,84,44
2016,Herdern-Nord,6178,6292,1358,1483,852,363,143,852,468,163,110,14,92,32
2017,Herdern-Nord,6169,6273,1361,1499,848,376,137,848,494,157,92,12,76,28
2018,Herdern-Nord,6161,6268,1385,1523,863,382,140,863,501,159,87,14,73,28
2020,Herdern-Nord,6153,6256,1338,1474,764,434,140,764,547,163,88,11,75,24
2021,Herdern-Nord,6206,6314,1414,1556,816,457,141,816,576,164,93,12,77,28
2006,Zähringen,8118,8558,1849,2088,864,555,430,864,733,491,179,26,149,56
2008,Zähringen,8185,8586,1903,2155,902,570,431,902,755,498,161,22,134,49
2009,Zähringen,8238,8615,1930,2186,928,590,412,928,781,477,158,30,133,55
2011,Zähringen,8432,8595,2013,2263,1002,617,394,1002,809,452,148,28,125,51
2013,Zähringen,8604,8702,1939,2184,1036,613,290,1036,814,334,134,26,119,41
2014,Zähringen,8769,8871,2066,2303,1140,632,294,1140,827,336,142,28,126,44
2015,Zähringen,8927,9026,2189,2431,1237,667,285,1237,872,322,160,33,140,53
2019,Zähringen,9247,9349,2621,2889,1648,706,267,1648,941,300,152,40,126,66
2020,Zähringen,9196,9295,2640,2881,1596,773,271,1596,977,308,150,35,122,63
2021,Zähringen,9117,9226,2600,2826,1550,778,272,1550,972,304,139,32,111,60
2006,Brühl-Güterbahnhof,5667,5940,1806,2002,908,436,462,908,585,509,145,38,117,66
2008,Brühl-Güterbahnhof,5626,5846,1838,2037,932,446,460,932,587,518,148,40,119,69
2009,Brühl-Güterbahnhof,5756,5966,1882,2097,962,477,443,962,630,505,137,50,108,79
2010,Brühl-Güterbahnhof,5846,6060,1924,2111,960,495,469,960,619,532,149,48,114,83
2012,Brühl-Güterbahnhof,6334,6394,2007,2225,1003,529,475,1003,686,536,173,61,131,103
2016,Brühl-Güterbahnhof,7144,7203,2403,2633,1370,688,345,1370,873,390,126,50,91,85
2017,Brühl-Güterbahnhof,7705,7767,2621,2900,1559,742,320,1559,969,372,142,52,100,94
2018,Brühl-Güterbahnhof,8126,8202,2874,3176,1786,768,320,1786,1020,370,126,53,91,88
2020,Brühl-Güterbahnhof,8196,8278,2854,3155,1689,859,306,1689,1113,353,126,44,94,76
2021,Brühl-Güterbahnhof,8536,8632,3000,3314,1784,920,296,1784,1189,341,132,40,103,69
2007,Brühl-Industriegebiet,609,635,281,298,222,32,27,222,42,34,9,6,9,6
2009,Brühl-Industriegebiet,645,666,297,314,239,36,22,239,47,28,10,5,7,8
2013,Brühl-Industriegebiet,1103,1114,611,629,551,51,9,551,66,12,14,10,13,11
2014,Brühl-Industriegebiet,1367,1378,825,848,753,57,15,753,76,19,12,10,11,11
2015,Brühl-Industriegebiet,1332,1341,788,808,716,57,15,716,73,19,13,10,12,11
2019,Brühl-Industriegebiet,1588,1600,947,974,846,79,22,846,101,27,5,8,5,8
2014,Brühl-Beurbarung,2705,2721,1053,1169,667,310,76,667,418,84,80,41,60,61
2015,Brühl-Beurbarung,2709,2729,1037,1154,656,306,75,656,416,82,85,38,64,59
2019,Brühl-Beurbarung,2691,2716,1074,1216,697,317,60,697,452,67,78,34,54,58
2007,Hochdorf,5079,5187,1279,1535,458,367,454,458,532,545,127,29,106,50
2011,Hochdorf,5111,5158,1292,1541,502,399,391,502,562,477,115,27,98,44
2013,Hochdorf,5139,5171,1192,1429,540,411,241,540,589,300,113,20,97,36
2014,Hochdorf,5192,5219,1274,1520,607,429,238,607,616,297,104,24,89,39
2015,Hochdorf,5214,5239,1306,1551,659,422,225,659,611,281,101,25,85,41
2019,Hochdorf,5273,5307,1513,1778,875,437,201,875,641,262,108,25,89,44
2006,Waldsee,5352,5671,932,1084,384,333,215,384,469,231,108,27,98,37
2007,Waldsee,5371,5675,928,1103,402,326,200,402,482,219,96,23,86,33
2008,Waldsee,5353,5647,928,1098,412,331,185,412,485,201,109,22,96,35
2010,Waldsee,5368,5625,903,1071,402,319,182,402,463,206,109,26,95,40
2011,Waldsee,5538,5631,936,1103,416,341,179,416,480,207,114,27,100,41
2012,Waldsee,5553,5618,962,1139,422,352,188,422,503,214,130,30,119,41
2015,Waldsee,5808,5926,1076,1243,631,312,133,631,459,153,98,19,90,27
2017,Waldsee,5964,6094,1125,1323,662,326,137,662,503,158,89,20,76,33
2019,Waldsee,5908,6053,1104,1294,654,319,131,654,484,156,99,19,86,32
2021,Waldsee,5861,6007,1091,1246,603,357,131,603,484,159,103,19,89,33
2006,Littenweiler,7231,7876,1785,1992,942,494,349,942,655,395,180,34,144,70
2007,Littenweiler,7233,7858,1775,1994,945,493,337,945,662,387,179,35,139,75
2008,Littenweiler,7150,7755,1705,1911,899,470,336,899,619,393,176,39,143,72
2010,Littenweiler,7298,7819,1736,1915,944,485,307,944,613,358,171,36,141,66
2011,Littenweiler,7579,7737,1786,1977,980,498,308,980,642,355,175,37,147,65
2012,Littenweiler,7869,7964,1876,2082,1052,517,307,1052,680,350,196,47,164,79
2017,Littenweiler,8212,8317,2113,2335,1449,474,190,1449,658,228,159,46,139,66
2018,Littenweiler,8170,8284,2069,2295,1390,492,187,1390,682,223,139,46,123,62
2020,Littenweiler,8138,8265,2115,2318,1384,568,163,1384,740,194,149,48,130,67
2021,Littenweiler,8192,8316,2056,2260,1314,582,160,1314,759,187,156,54,135,75
2007,Ebnet,2294,2406,397,488,118,203,76,118,284,86,53,5,47,11
2011,Ebnet,2567,2602,460,547,142,239,79,142,316,89,62,5,52,15
2013,Ebnet,2587,2607,331,396,161,104,66,161,164,71,57,8,52,13
2014,Ebnet,2596,2616,345,412,165,110,70,165,171,76,53,4,49,8
2015,Ebnet,2641,2665,371,427,184,115,72,184,168,75,65,6,59,12
2019,Ebnet,2665,2698,349,428,166,125,58,166,193,69,58,3,51,10
2006,Kappel,2711,2812,481,565,117,269,95,117,342,106,57,3,48,12
2009,Kappel,2704,2783,472,542,118,267,87,118,330,94,48,4,42,10
2010,Kappel,2684,2774,474,546,124,268,82,124,333,89,50,3,42,11
2012,Kappel,2714,2736,512,584,146,283,83,146,343,95,60,3,53,10
2013,Kappel,2742,2762,343,404,165,108,70,165,164,75,49,6,47,8
2016,Kappel,2694,2717,408,457,217,119,72,217,162,78,58,5,52,11
2017,Kappel,2712,2735,382,441,212,104,66,212,155,74,53,4,49,8
2018,Kappel,2711,2736,397,453,225,107,65,225,155,73,49,8,47,10
2020,Kappel,2675,2703,387,436,206,120,61,206,162,68,51,11,47,15
2021,Kappel,2671,2696,374,418,194,125,55,194,161,63,52,8,49,11
2006,Oberau,6194,6679,1331,1454,701,419,211,701,527,226,170,17,153,34
2007,Oberau,6309,6771,1386,1527,722,443,221,722,563,242,163,17,145,35
2008,Oberau,6212,6642,1385,1510,716,449,220,716,553,241,152,21,136,37
2010,Oberau,6398,6775,1415,1562,719,468,228,719,593,250,134,23,115,42
2011,Oberau,6611,6763,1485,1642,768,468,249,768,597,277,140,22,118,44
2012,Oberau,6715,6818,1511,1676,761,502,248,761,636,279,185,22,158,49
2014,Oberau,6727,6818,1393,1536,814,378,201,814,505,217,128,20,112,36
2015,Oberau,6753,6858,1460,1587,849,405,206,849,515,223,135,21,117,39
2019,Oberau,6879,6968,1503,1680,894,436,173,894,592,194,111,19,92,38
2021,Oberau,6749,6859,1437,1598,801,472,164,801,614,183,112,13,93,32
2009,Oberwiehre,6638,6985,1163,1334,540,462,161,540,615,179,149,17,132,34
2013,Oberwiehre,6777,6875,1073,1246,581,351,141,581,500,165,122,20,109,33
2014,Oberwiehre,6861,6957,1094,1282,593,351,150,593,514,175,114,23,101,36
2016,Oberwiehre,6921,7021,1203,1371,680,370,153,680,510,181,144,24,134,34
2018,Oberwiehre,6805,6919,1127,1322,639,353,135,639,524,159,141,20,131,30
2019,Oberwiehre,6785,6903,1144,1351,643,365,136,643,545,163,140,14,129,25
2006,Mittelwiehre,4279,4642,794,891,390,275,129,390,354,147,103,10,89,24
2009,Mittelwiehre,4485,4784,835,935,420,293,122,420,383,132,88,9,78,19
2010,Mittelwiehre,4385,4666,790,904,387,286,117,387,388,129,96,8,86,18
2012,Mittelwiehre,4585,4669,830,960,407,301,122,407,417,136,130,12,114,28
2016,Mittelwiehre,4706,4783,794,905,450,232,112,450,332,123,87,10,82,15
2017,Mittelwiehre,4690,4768,748,886,415,233,100,415,361,110,88,8,83,13
2018,Mittelwiehre,4734,4811,762,910,433,243,86,433,382,95,92,7,82,17
2020,Mittelwiehre,4721,4801,787,921,412,280,95,412,404,105,82,9,70,21
2021,Mittelwiehre,4674,4751,816,941,406,313,97,406,429,106,84,8,73,19
2007,Unterwiehre-Nord,4624,4991,909,1015,474,318,117,474,409,132,112,10,97,25
2011,Unterwiehre-Nord,5013,5122,1061,1167,505,417,139,505,497,165,106,22,90,38
2013,Unterwiehre-Nord,5109,5165,953,1063,518,324,111,518,416,129,94,19,82,31
2014,Unterwiehre-Nord,5127,5193,989,1111,551,327,111,551,430,130,81,22,71,32
2015,Unterwiehre-Nord,5100,5162,1001,1126,575,319,107,575,425,126,82,21,71,32
2019,Unterwiehre-Nord,5293,5364,1135,1277,667,354,114,667,483,127,98,22,82,38
2007,Unterwiehre-Süd,7082,7566,2038,2297,1067,593,378,1067,811,419,153,45,127,71
2011,Unterwiehre-Süd,7286,7452,2031,2293,1017,707,307,1017,924,352,137,37,115,59
2013,Unterwiehre-Süd,7546,7649,1969,2194,1047,713,209,1047,911,236,144,41,122,63
2014,Unterwiehre-Süd,7600,7710,1979,2214,1064,698,217,1064,904,246,129,35,112,52
2015,Unterwiehre-Süd,7837,7945,2226,2468,1332,678,216,1332,887,249,144,34,122,56
2019,Unterwiehre-Süd,8008,8124,2291,2580,1385,727,179,1385,987,208,132,37,115,54
2006,Günterstal,1669,1789,312,350,133,125,54,133,157,60,30,2,27,5
2007,Günterstal,1683,1801,329,369,148,129,52,148,165,56,31,0,29,2
2008,Günterstal,1652,1768,306,350,126,129,51,126,166,58,32,0,29,3
2010,Günterstal,1712,1813,333,374,131,140,62,131,175,68,25,0,21,4
2011,Günterstal,1733,1755,355,398,152,141,62,152,178,68,25,0,21,4
2012,Günterstal,1760,1785,374,419,175,141,58,175,180,64,27,0,24,3
2017,Günterstal,2086,2113,494,561,293,150,51,293,207,61,29,3,25,7
2020,Günterstal,2071,2105,490,556,280,163,47,280,213,63,28,5,25,8
2021,Günterstal,2087,2120,501,559,278,178,45,278,220,61,27,5,22,10
2007,Brühl-Beurbarung,2544,2605,929,1026,595,199,135,595,275,156,88,24,79,33
2011,Brühl-Beurbarung,2599,2621,1006,1119,620,268,118,620,359,140,92,34,73,53
2013,Brühl-Beurbarung,2627,2642,990,1093,627,290,73,627,388,78,91,38,72,57
2007,Stühlinger-Eschholz,6243,6693,1788,1889,1037,420,331,1037,498,354,120,27,103,44
2008,Stühlinger-Eschholz,6219,6642,1730,1836,959,446,325,959,533,344,115,27,99,43
2011,Stühlinger-Eschholz,6545,6697,1834,1940,1010,521,303,1010,605,325,100,27,82,45
2013,Stühlinger-Eschholz,6580,6691,1736,1850,1057,481,198,1057,575,218,91,26,76,41
2014,Stühlinger-Eschholz,6669,6774,1814,1943,1114,499,201,1114,605,224,101,24,88,37
2015,Stühlinger-Eschholz,6552,6646,1733,1866,1053,479,201,1053,585,228,116,25,99,42
2019,Stühlinger-Eschholz,7012,7117,2080,2235,1332,580,168,1332,711,192,114,36,92,58
2006,Alt-Stühlinger,8434,8927,3008,3234,1751,750,507,1751,936,547,205,43,177,71
2008,Alt-Stühlinger,8515,8949,2873,3099,1624,766,483,1624,951,524,184,38,154,68
2009,Alt-Stühlinger,8664,9054,2950,3174,1690,783,477,1690,963,521,182,42,151,73
2010,Alt-Stühlinger,8867,9243,3090,3322,1786,849,455,1786,1038,498,179,41,151,69
2012,Alt-Stühlinger,9081,9173,3175,3426,1866,892,417,1866,1099,461,194,56,166,84
2016,Alt-Stühlinger,9191,9290,3108,3372,1888,946,274,1888,1182,302,148,47,125,70
2017,Alt-Stühlinger,9150,9243,3063,3378,1918,906,239,1918,1195,265,155,49,129,75
2018,Alt-Stühlinger,9260,9344,3146,3438,1980,933,233,1980,1199,259,166,56,141,81
2020,Alt-Stühlinger,9098,9182,3075,3352,1874,972,229,1874,1226,252,160,63,127,96
2021,Alt-Stühlinger,8991,9075,3040,3320,1846,971,223,1846,1231,243,154,65,125,94
2006,Mooswald-West,3782,3934,701,807,274,192,235,274,268,265,76,9,70,15
2007,Mooswald-West,3862,4012,733,841,281,213,239,281,295,265,84,11,77,18
2008,Mooswald-West,3873,4011,724,834,274,214,236,274,294,266,79,8,72,15
2013,Mooswald-West,3905,3941,692,797,299,253,140,299,336,162,62,8,53,17
2014,Mooswald-West,3947,3985,737,852,358,244,135,358,340,154,66,6,57,15
2016,Mooswald-West,3991,4032,843,945,439,263,141,439,346,160,53,6,49,10
2018,Mooswald-West,4001,4032,872,1005,470,273,129,470,387,148,40,10,36,14
2020,Mooswald-West,3978,4018,931,1038,501,303,127,501,392,145,41,9,34,16
2006,Mooswald-Ost,3387,3537,1027,1113,627,213,187,627,289,197,106,25,90,41
